headline,url,time,summary,tags
南宁持续整治“三资”管理突出问题 看牢村集体家底,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn6376268.shtml,2025-05-23 08:15:18,前不久，广西壮族自治区南宁市马山县纪委监委在开展农村集体“三资”管理专项监督检查中，发现百龙滩镇大球社区、林圩镇东庄村六往屯个别干部违规挪用集体土地征地补偿款问题...,"南宁市,农村集体"
正风反腐在身边·变化看得见丨守护漓江水清岸绿,https://news.sina.com.cn/c/2025-05-23/doc-inexnyni4323124.shtml,2025-05-23 08:15:18,广西壮族自治区恭城瑶族自治县纪委监委将水质提升纳入政治监督重要内容，聚焦主体责任落实、职能部门履职、干部工作作风等方面，综合运用下沉监督、联合督查、约谈提醒...,"漓江,桂林市,广西壮族自治区"
方圆谈丨用权为民就得多干事,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9035144.shtml,2025-05-23 08:01:18,权为民所赋，必为民所用，用权为民要常思权力来自谁、在为谁干事。 权力是干事创业的重要基础，干事是领导干部最基本、最起码的职责所在，是执政之要。,方圆
时政“留声机”·总书记的“待客茶”,https://news.sina.com.cn/c/xl/2025-05-23/doc-inexnynn6370958.shtml,2025-05-23 07:51:18,茶，起源于中国，盛行于世界，蕴含着中国人的处世哲学和待客之道。在国际外交舞台上，习近平主席频频以茶会友、以茶论道，在弘扬中华优秀传统文化的同时...,
总书记河南行｜记者手记：走自己的路，继续伟大下去,https://news.sina.com.cn/c/xl/2025-05-23/doc-inexnyni4317616.shtml,2025-05-23 07:50:18,河出潼关，在一望开阔的平原滔滔东去，伊水洛河蜿蜒汇流，华夏曙光于此初现，“昔三代之居，皆在河洛之间”。 肇兴于斯、灿烂于斯。,
【新思想引领新征程】推进精神文明建设 为强国复兴伟业凝心聚力,https://news.sina.com.cn/c/xl/2025-05-23/doc-inexnyni4317526.shtml,2025-05-23 07:50:18,央视网消息（新闻联播）：人无精神不立，国无精神不强。一个民族的复兴需要强大的物质力量，也需要强大的精神力量。习近平总书记指出...,
时政微纪录丨奋进中原——习近平总书记赴河南考察纪实,https://news.sina.com.cn/c/xl/2025-05-23/doc-inexnynn9029303.shtml,2025-05-23 07:48:18,黄河奔涌，滋养出沃野千里的河南大地 5月19日到20日 习近平总书记赴河南考察调研 从智能工厂生产线到文化遗产保护地 从夯实制造业基础到文化传承保护 总书记殷殷叮嘱...,
全省首张“二检合一”专项计量授权证书发出,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9026788.shtml,2025-05-23 07:33:18,为进一步打造更优营商环境，激发经营主体活力，服务企业降本增效，省市场监管局在全省范围内创新开展民用水表、燃气表出厂检定和安装前首次强制检定合并实施的“二检合一”改...,
微企业融资难题,https://news.sina.com.cn/c/2025-05-23/doc-inexnynn9023146.shtml,2025-05-23 07:15:00,融资作为推动企业发展的重要动力，直接关系到企业的生存与发展能力。为化解小微企业反映强烈的融资“难贵慢”问题，中央纪委国家监委驻中国工商银行纪检监察组坚持与工商银行...,纪检
清风为伴产业兴 | 蟹塘生金富农家,https://news.sina.com.cn/c/2025-05-23/doc-inexnynm1085472.shtml,2025-05-23 07:15:00,近日，安徽省无为市姚沟镇纪委副书记沈玉琴来到飞雁村，了解惠民政策落实情况。沈玉琴走上塘埂，向蟹农们了解商品饵料的质量和价格情况...,农业农村
